user_message,empathetic_reply
I feel like nobody understands me,I'm sorry you're going through this. Want to share more about it?
Mujhe bahut udaasi lag rahi hai,That sounds tough. Maybe writing your thoughts in a diary could help.
I can't sleep properly at night,Main samajh raha hoon tum kya feel kar rahe ho. Kya tum aur share karna chahoge?
I'm happy today because I talked to my best friend,That sounds tough. Maybe writing your thoughts in a diary could help.
I'm feeling anxious before my exams,"It's great that you shared this. Talking helps, always."
I'm happy today because I talked to my best friend,Kabhi kabhi aisa feel karna normal hai. Tumhari feelings valid hain.
Kal se mera mann kaafi kharab hai,I hear you. Would you like some small steps to feel lighter?
Kal se mera mann kaafi kharab hai,"It's okay to feel like this. Take a deep breath, you're not alone."
Mujhe gussa bohot aata hai chhoti chhoti baaton par,Kabhi kabhi aisa feel karna normal hai. Tumhari feelings valid hain.
I'm feeling anxious before my exams,"Tum akela nahi ho. Main hoon tumhare saath, share karte raho."
I feel like nobody understands me,"Tum akela nahi ho. Main hoon tumhare saath, share karte raho."
I'm feeling anxious before my exams,"It's okay to feel like this. Take a deep breath, you're not alone."
I feel like nobody understands me,I'm sorry you're going through this. Want to share more about it?
Mujhe lagta hai ki main kuch khaas nahi hoon,That sounds tough. Maybe writing your thoughts in a diary could help.
I'm happy today because I talked to my best friend,"Tum akela nahi ho. Main hoon tumhare saath, share karte raho."
I'm happy today because I talked to my best friend,Main samajh raha hoon tum kya feel kar rahe ho. Kya tum aur share karna chahoge?
Mujhe apne future ke baare mein tension hai,That sounds tough. Maybe writing your thoughts in a diary could help.
I'm happy today because I talked to my best friend,"Tum akela nahi ho. Main hoon tumhare saath, share karte raho."
Mujhe apne future ke baare mein tension hai,That sounds tough. Maybe writing your thoughts in a diary could help.
I feel like nobody understands me,"It's okay to feel like this. Take a deep breath, you're not alone."
Sometimes I feel very lonely,Kabhi kabhi aisa feel karna normal hai. Tumhari feelings valid hain.
I feel like nobody understands me,Yeh mushkil lagta hai. Tum chaaho toh main sunne ke liye hoon.
Mujhe lagta hai ki main kuch khaas nahi hoon,"It's great that you shared this. Talking helps, always."
I'm happy today because I talked to my best friend,Main tumhari baat samajh sakta hoon. Tumhari emotions important hain.
Mujhe lagta hai ki main kuch khaas nahi hoon,That sounds tough. Maybe writing your thoughts in a diary could help.
I'm happy today because I talked to my best friend,Main samajh raha hoon tum kya feel kar rahe ho. Kya tum aur share karna chahoge?
Mujhe lagta hai ki main kuch khaas nahi hoon,That sounds tough. Maybe writing your thoughts in a diary could help.
Sometimes I feel very lonely,Kabhi kabhi aisa feel karna normal hai. Tumhari feelings valid hain.
Mujhe gussa bohot aata hai chhoti chhoti baaton par,Main samajh raha hoon tum kya feel kar rahe ho. Kya tum aur share karna chahoge?
I feel like nobody understands me,"Tum akela nahi ho. Main hoon tumhare saath, share karte raho."
Kal se mera mann kaafi kharab hai,Main tumhari baat samajh sakta hoon. Tumhari emotions important hain.
Kal se mera mann kaafi kharab hai,"Tum akela nahi ho. Main hoon tumhare saath, share karte raho."
Sometimes I feel very lonely,That sounds tough. Maybe writing your thoughts in a diary could help.
Kal se mera mann kaafi kharab hai,Kabhi kabhi aisa feel karna normal hai. Tumhari feelings valid hain.
Sometimes I feel very lonely,Main samajh raha hoon tum kya feel kar rahe ho. Kya tum aur share karna chahoge?
Kal se mera mann kaafi kharab hai,Yeh mushkil lagta hai. Tum chaaho toh main sunne ke liye hoon.
I'm feeling anxious before my exams,"It's okay to feel like this. Take a deep breath, you're not alone."
Sometimes I feel very lonely,Main samajh raha hoon tum kya feel kar rahe ho. Kya tum aur share karna chahoge?
Kal se mera mann kaafi kharab hai,I hear you. Would you like some small steps to feel lighter?
Mujhe apne future ke baare mein tension hai,I hear you. Would you like some small steps to feel lighter?
I feel like nobody understands me,"Tum akela nahi ho. Main hoon tumhare saath, share karte raho."
Mujhe bahut udaasi lag rahi hai,I'm sorry you're going through this. Want to share more about it?
Mujhe lagta hai ki main kuch khaas nahi hoon,"It's great that you shared this. Talking helps, always."
I can't sleep properly at night,"It's great that you shared this. Talking helps, always."
Mujhe apne future ke baare mein tension hai,That sounds tough. Maybe writing your thoughts in a diary could help.
I can't sleep properly at night,I hear you. Would you like some small steps to feel lighter?
Mujhe gussa bohot aata hai chhoti chhoti baaton par,Kabhi kabhi aisa feel karna normal hai. Tumhari feelings valid hain.
I'm feeling anxious before my exams,Main tumhari baat samajh sakta hoon. Tumhari emotions important hain.
Mujhe gussa bohot aata hai chhoti chhoti baaton par,Kabhi kabhi aisa feel karna normal hai. Tumhari feelings valid hain.
Kal se mera mann kaafi kharab hai,Main samajh raha hoon tum kya feel kar rahe ho. Kya tum aur share karna chahoge?
Mujhe lagta hai ki main kuch khaas nahi hoon,Main tumhari baat samajh sakta hoon. Tumhari emotions important hain.
I'm feeling anxious before my exams,"It's great that you shared this. Talking helps, always."
I can't sleep properly at night,"It's okay to feel like this. Take a deep breath, you're not alone."
Kal se mera mann kaafi kharab hai,Yeh mushkil lagta hai. Tum chaaho toh main sunne ke liye hoon.
Sometimes I feel very lonely,Main tumhari baat samajh sakta hoon. Tumhari emotions important hain.
Mujhe gussa bohot aata hai chhoti chhoti baaton par,Kabhi kabhi aisa feel karna normal hai. Tumhari feelings valid hain.
I can't sleep properly at night,Main samajh raha hoon tum kya feel kar rahe ho. Kya tum aur share karna chahoge?
